advertiser_name,ad_type,total_ads,total_spend_min,total_spend_max,avg_spend_estimate
BIDEN FOR PRESIDENT,VIDEO,49600,74295200,96055100,85175150
FF PAC,VIDEO,9113,56687900,68699300,62693600
"DONALD J. TRUMP FOR PRESIDENT, INC.",VIDEO,14386,42437600,51260600,46849100
SENATE LEADERSHIP FUND,VIDEO,3195,35870000,43386600,39628300
HARRIS VICTORY FUND,TEXT,455,34648800,42278300,38463550
HARRIS FOR PRESIDENT,VIDEO,10338,34380900,42160300,38270600
MIKE BLOOMBERG 2020 INC,VIDEO,54430,28993800,39853700,34423750
"DONALD J. TRUMP FOR PRESIDENT, INC.",TEXT,5648,27410300,32938500,30174400
WINSENATE,VIDEO,1211,25138100,29756200,27447150
DSCC,VIDEO,1667,23253000,28239200,25746100
CONGRESSIONAL LEADERSHIP FUND,VIDEO,3299,20190300,24811300,22500800
AMERICANS FOR PROSPERITY ACTION INC,VIDEO,1933,18500200,22491300,20495750
"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",VIDEO,2992,18543000,22391300,20467150
BIDEN VICTORY FUND,TEXT,424,18032600,22157700,20095150
HARRIS VICTORY FUND,VIDEO,1762,17865100,21564700,19714900
PRESERVE AMERICA PAC,VIDEO,517,17581700,20826900,19204300
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,IMAGE,9117,14393800,18238100,16315950
DCCC,VIDEO,3999,14399100,17835700,16117400
HARRIS FOR PRESIDENT,TEXT,3698,14098000,17314300,15706150
ONE NATION,VIDEO,644,13890300,16679300,15284800
HMP,VIDEO,1828,13387700,16433900,14910800
MAKE AMERICA GREAT AGAIN INC.,VIDEO,2849,13283800,16257900,14770850
SAFETY FOR ALL NEWSOM BALLOT MEASURE COMMITTEE,VIDEO,469,12594500,14977500,13786000
DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,VIDEO,1835,12261700,14805900,13533800
Money Metals Exchange LLC,TEXT,446,11865200,14669700,13267450
TRUMP MAKE AMERICA GREAT AGAIN COMMITTEE,VIDEO,4632,11872000,14642800,13257400
Warnock for Georgia,VIDEO,1143,11760300,14371700,13066000
NRSC,VIDEO,4603,11532500,14370500,12951500
Steyer for Governor 2026,VIDEO,310,11876100,13852500,12864300
TRUMP NATIONAL COMMITTEE JFC,VIDEO,342,11757400,13794400,12775900
CALIFORNIA APARTMENT ASSOCIATION,VIDEO,306,10870700,12843600,11857150
BIDEN VICTORY FUND,VIDEO,2344,9434900,11298700,10366800
American Action Network INC,VIDEO,867,8884200,10901200,9892700
"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",TEXT,193,8772300,10950700,9861500
MIKE BLOOMBERG 2020 INC,TEXT,2284,8741300,10486600,9613950
AMERICANS FOR PROSPERITY,VIDEO,2349,8325300,10194600,9259950
JON OSSOFF FOR SENATE,VIDEO,404,8238800,9856900,9047850
COLIN ALLRED FOR SENATE,VIDEO,146,8246300,9580800,8913550
Prager University Foundation,VIDEO,2662,7752500,9770900,8761700
DNC SERVICES CORP / DEMOCRATIC NATIONAL COMMITTEE,TEXT,4006,7830700,9688900,8759800
BIDEN FOR PRESIDENT,TEXT,12298,7235100,9884800,8559950
Republican Accountability PAC,VIDEO,1081,7588200,9500000,8544100
One Nation,VIDEO,881,7623400,9265000,8444200
Virginians for Fair Elections,VIDEO,315,7396900,8787100,8092000
"Yes on 27 - Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",VIDEO,87,7230700,8436900,7833800
REPUBLICAN NATIONAL COMMITTEE,VIDEO,1510,7051700,8613300,7832500
"SmartNews International, Inc",VIDEO,459,7009300,8630300,7819800
JB FOR GOVERNOR,VIDEO,248,7040400,8315800,7678100
Future Forward USA Action,VIDEO,603,6815700,8139900,7477800
Spanberger for Governor,VIDEO,222,6522800,7716600,7119700
TRUMP NATIONAL COMMITTEE JFC,TEXT,21,6338200,7844600,7091400
SECURING AMERICAN GREATNESS INC,VIDEO,247,6354100,7578800,6966450
Duty and Honor Fund,VIDEO,186,6380400,7525500,6952950
NRCC,VIDEO,1869,6059800,7594000,6826900
NRSC,IMAGE,2627,6104700,7495000,6799850
DSCC,TEXT,99,5611000,7169400,6390200
Save America Joint Fundraising Committee,IMAGE,555,5616400,6977200,6296800
SMP,VIDEO,598,5609300,6858100,6233700
House Majority PAC,VIDEO,1041,5296000,6513700,5904850
"AMERICA FIRST ACTION, INC.",VIDEO,838,5160300,6450600,5805450
REPUBLICAN PARTY OF FLORIDA,VIDEO,386,5238300,6349100,5793700
Fox News Network LLC,TEXT,931,5188100,6212300,5700200
Bloomberg L.P.,TEXT,180,4932100,6420100,5676100
AB PAC,VIDEO,1078,4990500,6159400,5574950
Priorities USA Action & SMP,VIDEO,189,5084900,5941000,5512950
PRIORITIES USA ACTION,VIDEO,1573,4942500,6035600,5489050
CALIFORNIANS FOR THE PEOPLE,VIDEO,50,5016000,5854000,5435000
Department of Homeland Security,VIDEO,85,4906500,5780000,5343250
"Jackson for Governor, Inc.",VIDEO,339,4770200,5728600,5249400
TERRY FOR VIRGINIA,VIDEO,1082,4653500,5781100,5217300
Mark Kelly for Senate,VIDEO,1126,4513500,5563600,5038550
SHAPIRO FOR PENNSYLVANIA,VIDEO,159,4601100,5403300,5002200
WORKING FAMILIES FOR HEALTHY COMMUNITIES SUPPORTING BECERRA FOR,VIDEO,39,4612500,5380500,4996500
AMERICAN CROSSROADS,VIDEO,458,4397200,5429000,4913100
"NRA Victory Fund, Inc.",VIDEO,625,4254200,5268200,4761200
WARNOCK FOR GEORGIA,TEXT,103,4114100,5095800,4604950
REPUBLICAN NATIONAL COMMITTEE,TEXT,1618,4085800,5039000,4562400
Friends of Sherrod Brown,VIDEO,513,4029400,4908400,4468900
MAJORITY FORWARD FUND,VIDEO,141,4051000,4826300,4438650
"TEAM GRAHAM, INC.",TEXT,321,4053400,4758800,4406100
"LEAGUE OF CONSERVATION VOTERS, INC.",VIDEO,382,3795700,4685900,4240800
LCV VICTORY FUND,VIDEO,343,3818500,4593700,4206100
GEORGIA HONOR,VIDEO,185,3817400,4594800,4206100
Justice Project,TEXT,46,3839400,4487600,4163500
TAMMY BALDWIN FOR SENATE,VIDEO,368,3676900,4452600,4064750
DEFENDING DEMOCRACY TOGETHER,VIDEO,483,3679800,4444600,4062200
JAIME HARRISON FOR US SENATE,VIDEO,994,3621300,4474000,4047650
STOP REPUBLICANS,IMAGE,535,3504600,4192300,3848450
Unrig Our Economy Inc,VIDEO,307,3445700,4243200,3844450
BERNIE 2020,TEXT,97,3392000,4221800,3806900
SMP,TEXT,142,3496600,4044200,3770400
Friends of Sherrod Brown,TEXT,94,3350500,4161300,3755900
YES ON 22 - SAVE APP-BASED JOBS & SERVICES,VIDEO,126,3421300,4058000,3739650
WOMEN VOTE!,VIDEO,290,3378200,4043800,3711000
VoteVets,VIDEO,274,3247400,3917000,3582200
CIATTARELLI FOR GOVERNOR,VIDEO,288,3191100,3870100,3530600
RBG PAC,VIDEO,58,3171500,3712700,3442100
A BETTER WISCONSIN TOGETHER POLITICAL FUND,VIDEO,329,3094000,3757100,3425550
"AMY MCGRATH FOR SENATE, INC.",VIDEO,267,3049900,3713400,3381650
Mark Kelly for Senate,TEXT,289,3064700,3681300,3373000
GALLEGO FOR ARIZONA,VIDEO,338,3049500,3674300,3361900
JOSH STEIN FOR NORTH CAROLINA,VIDEO,455,2990400,3685900,3338150
Warnock for Georgia,TEXT,131,3064300,3535300,3299800
Colin Allred for Senate,TEXT,11,2913000,3683500,3298250
MONTANANS FOR TESTER,VIDEO,551,2869800,3519600,3194700
House Majority Forward,VIDEO,192,2815500,3439000,3127250
BOB CASEY FOR SENATE INC,VIDEO,297,2769000,3406800,3087900
Right for America,VIDEO,327,2769300,3393900,3081600
"No on 29: Stop Yet Another Dangerous Dialysis Proposition, sponsored by patients, doctors, nurses and dialysis providers",VIDEO,67,2821500,3308100,3064800
DAVID TRONE FOR MARYLAND,VIDEO,509,2724000,3383800,3053900
RED SENATE,TEXT,235,2793100,3289100,3041100
ALLIANCE FOR A BETTER MINNESOTA ACTION FUND,VIDEO,1980,2647700,3418400,3033050
BLAZE MEDIA LLC FKA CRTV LLC,VIDEO,4939,2593200,3417800,3005500
"YES on 26, NO on 27 - Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes",TEXT,142,2601700,3367300,2984500
MAJORITY FORWARD,VIDEO,106,2724600,3224000,2974300
STOP THE REPUBLICAN RECALL OF GOVERNOR NEWSOM,VIDEO,76,2734200,3212200,2973200
RAJA FOR ILLINOIS,VIDEO,67,2696800,3199500,2948150
"PROTECT VOTERS FIRST, SPONSORED BY HOLD POLITICIANS ACCOUNTABLE",VIDEO,32,2737200,3149400,2943300
GREATER GARDEN STATE,VIDEO,169,2689600,3177300,2933450
YES ON 22 - SAVE APP-BASED JOBS & SERVICES,TEXT,155,2515600,3321300,2918450
DCCC,TEXT,365,2662900,3134500,2898700
Save My Country Action Fund,VIDEO,722,2622700,3120400,2871550
Citizens for Sanity,VIDEO,49,2631200,3059300,2845250
THE LINCOLN PROJECT,VIDEO,730,2532200,3147600,2839900
KEVIN COMBS,IMAGE,37725,866200,4780700,2823450
Iris Social Stock App Inc,VIDEO,66,2553200,3046700,2799950
TRUMP SAVE AMERICA JOINT FUNDRAISING COMMITTEE,TEXT,28,2581100,2958400,2769750
REPUBLICAN NATIONAL COMMITTEE,IMAGE,2978,2375200,3145800,2760500
"YES on 26, NO on 27 - Coalition for Safe, Responsible Gaming, Sponsored by California Indian Tribes",VIDEO,153,2515600,2987700,2751650
Mandela Barnes for Wisconsin,VIDEO,175,2499100,2989600,2744350
SENATE LEADERSHIP FUND,TEXT,257,2478600,2973200,2725900
FUTURE FORWARD USA PAC,VIDEO,542,2416700,3021300,2719000
VOTE YES FOR FAIRNESS,VIDEO,119,2431300,2867100,2649200
Fetterman for PA,TEXT,72,2438700,2769500,2604100
TOM STEYER 2020,VIDEO,98,2353300,2812600,2582950
"A BETTER WISCONSIN TOGETHER, INC.",VIDEO,448,2317000,2825900,2571450
PRIORITIES USA ACTION,TEXT,2666,2148700,2844900,2496800
MARKETFUEL SUBSCRIPTION SERVICES,VIDEO,2726,2140000,2778300,2459150
PRIORITIES USA,VIDEO,405,2197700,2687500,2442600
JUDICIAL WATCH INC,IMAGE,21,2281800,2596100,2438950
"THERESA GREENFIELD FOR IOWA, INC.",VIDEO,835,2143100,2666700,2404900
"Floridians Protecting Freedom, Inc.",TEXT,3,2115000,2630000,2372500
1111 LLC,VIDEO,221,2140300,2583000,2361650
Virginians For Fair Maps RC,VIDEO,260,2102100,2584300,2343200
TIM RYAN FOR OHIO,VIDEO,203,2137300,2544400,2340850
America PAC,VIDEO,331,2051000,2573500,2312250
"Cable News Network, Inc.",VIDEO,97,2098200,2481100,2289650
TED CRUZ FOR SENATE,VIDEO,132,2068600,2502500,2285550
"DONALD J. TRUMP FOR PRESIDENT 2024, INC.",IMAGE,2339,1979100,2580700,2279900
EPOCH USA INC.,VIDEO,2130,1979300,2529300,2254300
FRIENDS OF RON DESANTIS,IMAGE,255,2040300,2448900,2244600
"TEAM HERSCHEL, INC.",TEXT,413,2018400,2427700,2223050
Wisconsin Truth PAC,VIDEO,76,2030600,2414800,2222700
One Georgia Inc,VIDEO,555,1956600,2467500,2212050
RICK CARUSO FOR MAYOR 2022,VIDEO,89,2005300,2387600,2196450
Money Metals Exchange LLC,IMAGE,13797,1381500,2997300,2189400
EDF ACTION VOTES,VIDEO,111,2006100,2336000,2171050
STOP THE REPUBLICAN RECALL OF GOVERNOR NEWSOM,TEXT,40,1968500,2291500,2130000
Maryland's Future,VIDEO,35,1951100,2271000,2111050
GEORGIA ACTION FUND,VIDEO,38,1920500,2291600,2106050
Put Michigan First,VIDEO,113,1911300,2271800,2091550
JON OSSOFF FOR SENATE,TEXT,200,1755600,2425700,2090650
LONE STAR FREEDOM PROJECT INC,VIDEO,53,1904500,2260000,2082250
"TURNING POINT USA, NFP",VIDEO,2637,1774800,2369000,2071900
Progress North Carolina Action,VIDEO,123,1854200,2214600,2034400
"NO ON 23 - STOP THE DANGEROUS & COSTLY DIALYSIS PROPOSITION, A COALITION OF DIALYSIS PROVIDERS, NURSES, DOCTORS AND PATIENTS",TEXT,198,1879300,2157500,2018400
Daily Wire LLC,VIDEO,569,1817500,2186800,2002150
ROSEN FOR NEVADA,VIDEO,643,1734100,2238500,1986300
LAST BEST PLACE PAC,VIDEO,124,1781100,2189000,1985050
Winsome for Governor,VIDEO,345,1758700,2203700,1981200
RESTORE NEW JERSEY,VIDEO,28,1797000,2139000,1968000
"Floridians Protecting Freedom, Inc.",VIDEO,166,1742000,2162400,1952200
MCSALLY FOR SENATE INC,VIDEO,268,1741000,2135800,1938400
SAHAK NALBANDYAN,IMAGE,1148,1702600,2147500,1925050
A BETTER WISCONSIN TOGETHER ACTION,VIDEO,37,1755500,2066600,1911050
California Back to Basics,VIDEO,101,1711100,2109700,1910400
NRCC,IMAGE,494,1684300,2106900,1895600
MAHAN FOR GOVERNOR 2026,VIDEO,153,1714200,2052400,1883300
VAL DEMINGS FOR U.S. SENATE,VIDEO,212,1689300,2067000,1878150
Cheri Beasley for North Carolina,VIDEO,47,1712200,2023300,1867750
STANDING STRONG PAC,VIDEO,19,1555500,2154800,1855150
ELENI KOUNALAKIS FOR TREASURER 2026,VIDEO,11,1720000,1990000,1855000
AMERICAN BRIDGE 21ST CENTURY,VIDEO,179,1673400,2031000,1852200
TEXANS FOR GREG ABBOTT,VIDEO,153,1691900,2011200,1851550
REPRODUCTIVE FREEDOM FOR ALL,VIDEO,113,1672400,2017700,1845050
NEWSMAX MEDIA INC,VIDEO,110,1699500,1989800,1844650
GALLEGO FOR ARIZONA,TEXT,79,1699700,1973200,1836450
FIGHT FOR KENTUCKY,VIDEO,19,1700000,1972000,1836000
UNITED DEMOCRACY PROJECT (UDP),VIDEO,195,1641600,2024500,1833050
Giffords PAC,VIDEO,208,1625800,2035000,1830400
"Yes on 27 - Californians for Solutions to Homelessness and Mental Health Support, a Coalition of Housing and Mental Health Experts, Concerned Taxpayers and Digital Sports Entertainment and Gaming Companies",TEXT,13,1689100,1950800,1819950
FRIENDS OF DAVE MCCORMICK,VIDEO,293,1628900,1993600,1811250
US House of Representatives,VIDEO,542,1614300,1999300,1806800
Uber Innovation Political Action Committee,VIDEO,89,1593700,1994300,1794000
MANTILLA MARKETING S.A.S.,VIDEO,3612,1489700,2096100,1792900
ELISSA SLOTKIN FOR MICHIGAN,VIDEO,576,1597800,1958800,1778300
"YES ON 35 - PROTECT OUR HEALTHCARE, A COALITION OF FIRST RESPONDERS, HEALTHCARE WORKERS, DOCTORS, NON-PROFIT COMMUNITY HEALTH CENTERS AND HOSPITALS",TEXT,30,1443600,2018400,1731000
TAMMY BALDWIN FOR SENATE,TEXT,45,1595200,1840100,1717650
"HOME BOX OFFICE, INC.",VIDEO,60,1539500,1842000,1690750
Mood Media,VIDEO,28,1549800,1822700,1686250
JUDICIAL WATCH INC,VIDEO,332,1543800,1825500,1684650
GROW CALIFORNIA,VIDEO,92,1522800,1844700,1683750
Sixteen Thirty Fund,VIDEO,167,1494000,1870600,1682300
PRIORITIES USA & MAJORITY FORWARD,VIDEO,99,1525500,1812000,1668750
"PETE FOR AMERICA, INC.",VIDEO,962,1471800,1863300,1667550
VAL DEMINGS FOR U.S. SENATE,TEXT,22,1520500,1791100,1655800
GEORGIANS FOR KELLY LOEFFLER,VIDEO,44,1509200,1789500,1649350
Arizona Democratic Party,VIDEO,126,1485500,1808400,1646950
Stand for New York PAC,VIDEO,190,1445800,1845800,1645800
Citizens Not Politicians,VIDEO,59,1496000,1771000,1633500
"TEAM GRAHAM, INC.",VIDEO,222,1457800,1799600,1628700
INDEPENDENCE USA PAC,VIDEO,4278,1293900,1922300,1608100
